article_id,firm,tickers,shock_type,shock_magnitude,shock_direction
420,CaixaBank SA,CABK.MC,financial,major,negative
420,Banco de Sabadell SA,SAB.MC,financial,major,negative
420,Bankinter SA,BKT.MC,financial,minor,negative
420,Bankia SA,BKIA.MC,financial,major,negative
420,Banco Bilbao Vizcaya Argentaria SA,BBVA.MC,financial,major,negative
420,Unicaja Banco SA,UNI.MC,financial,minor,negative
421,Repsol,REP.MC,demand,minor,positive
422,IAG,IAG.MC,demand,major,negative
423,Santander,SAN.MC,financial,minor,positive
424,BBVA,BBVA.MC,financial,minor,positive
425,CaixaBank,CABK.MC,financial,minor,positive
425,Bankia,BKIA.MC,financial,minor,positive
426,BBVA,BBVA.MC,demand,minor,positive
427,Acciona SA,ANA.MC,technology,major,positive
428,Enagás,ENG.MC,financial,minor,positive
429,BBVA,BBVA.MC,financial,minor,positive
430,CaixaBank,CABK.MC,financial,minor,positive
430,Bankia,BKIA.MC,financial,minor,positive
431,Bankia,BKIA.MC,financial,minor,negative
431,CaixaBank,CABK.MC,financial,minor,negative
432,Banco Santander S.A.,SAN.MC,financial,minor,positive
432,Abengoa S.A. (ABG.MC),ABG.MC,financial,minor,positive
433,CaixaBank,CABK.MC,financial,minor,positive
433,Bankia,BKIA.MC,financial,minor,positive
434,CaixaBank,CABK.MC,financial,minor,positive
434,Bankia,BKIA.MC,financial,minor,positive
435,Bankia,BKIA.MC,financial,minor,positive
435,CaixaBank,CABK.MC,financial,minor,positive
436,Iberdrola,IBE.MC,supply,minor,positive
437,Acciona S.A.,ANA.MC,demand,major,positive
438,CaixaBank,CABK.MC,financial,major,negative
438,Bankia,BKIA.MC,financial,major,negative
439,BBVA,BBVA.MC,financial,minor,positive
440,Ferrovial SA,FER.MC,financial,minor,positive
441,Liberbank,LBK.MC,financial,minor,positive
441,Unicaja,UNI.MC,financial,minor,positive
441,Sabadell,SAB.MC,financial,minor,positive
441,BBVA,BBVA.MC,financial,minor,positive
442,ACS.MC,ACS.MC,financial,minor,positive
443,Ferrovial,FER.MC,financial,minor,positive
444,CaixaBank,CABK.MC,financial,minor,positive
444,Endesa,ELE.MC,financial,minor,positive
445,Ferrovial,FER.MC,demand,minor,negative
446,IAG,IAG.MC,financial,major,negative
447,Almirall,ALM.MC,financial,minor,negative
448,Colonial Socimi SA,COL.MC,financial,minor,positive
449,Acciona S.A.,ANA.MC,demand,major,positive
450,Naturgy Energy Group S.A.,NTGY.MC,supply,minor,positive
451,BBVA,BBVA.MC,financial,minor,positive
451,Santander,SAN.MC,financial,minor,positive
451,Banco Sabadell,SAB.MC,financial,minor,positive
452,Colonial,COL.MC,demand,minor,positive
452,Merlin Properties,MRL.MC,demand,minor,positive
453,Colonial,COL.MC,financial,minor,positive
454,Aena,AENA.MC,demand,minor,negative
455,Repsol,REP.MC,financial,minor,positive
456,Siemens Gamesa Renewable Energy SA,SGRE.MC,demand,minor,positive
457,Cellnex,CLNX.MC,technology,minor,positive
458,Telefónica,TEF.MC,financial,major,positive
459,Banco de Sabadell SA,SAB.MC,financial,major,negative
460,Cellnex,CLNX.MC,financial,major,positive
461,CaixaBank SA,CABK.MC,financial,minor,positive
461,Bankia SA,BKIA.MC,financial,minor,positive
462,Telefónica S.A.,TEF.MC,financial,major,negative
462,Inditex,ITX.MC,demand,minor,negative
463,Siemens Gamesa Renewable Energy SA,SGRE.MC,demand,major,positive
464,Telefónica,TEF.MC,financial,minor,positive
465,Siemens Gamesa,SGRE.MC,policy,minor,positive
466,CaixaBank SA,CABK.MC,financial,minor,positive
466,Bankia SA,BKIA.MC,financial,minor,positive
467,Endesa,ELE.MC,financial,minor,positive
468,ACS,ACS.MC,financial,major,positive
469,Iberdrola,IBE.MC,financial,major,negative
470,ACS,ACS.MC,financial,minor,positive
471,IAG,IAG.MC,financial,minor,positive
472,Grifols,GRF.MC,demand,minor,positive
473,Cellnex,CLNX.MC,financial,minor,positive
474,Red Eléctrica Corp,REE.MC,demand,minor,negative
475,Iberdrola S.A.,IBE.MC,policy,minor,positive
476,Acciona SA,ANA.MC,supply,major,negative
477,Unicaja Banco SA,UNI.MC,financial,minor,positive
477,Liberbank SA,LBK.MC,financial,minor,positive
478,ACS,ACS.MC,financial,major,positive
479,Cellnex,CLNX.MC,financial,minor,positive
480,ACS,ACS.MC,financial,minor,positive
481,Liberbank SA,LBK.MC,financial,minor,positive
481,Unicaja Banco SA,UNI.MC,financial,minor,positive
482,Banco Sabadell,SAB.MC,financial,minor,negative
483,Naturgy,NTGY.MC,policy,major,positive
484,Cellnex,CLNX.MC,demand,major,positive
485,Banco Sabadell SA,SAB.MC,financial,minor,positive
485,CaixaBank SA,CABK.MC,financial,minor,positive
485,Banco Bilbao Vizcaya Argentaria SA,BBVA.MC,financial,minor,positive
485,Bankia SA,BKIA.MC,financial,minor,positive
486,Acciona SA,ANA.MC,demand,major,positive
487,Telefónica S.A.,TEF.MC,financial,minor,positive
488,Cellnex,CLNX.MC,financial,major,positive
489,Soltec,SOLTEC.MC,financial,major,positive
490,Repsol SA,REP.MC,financial,minor,positive
491,Acciona,ANA.MC,demand,minor,positive
492,Naturgy Energy Group S.A.,NTGY.MC,policy,major,positive
493,CaixaBank SA,CABK.MC,policy,minor,positive
493,Bankia SA,BKIA.MC,policy,minor,positive
493,Unicaja Banco SA,UNI.MC,policy,minor,positive
493,Liberbank SA,LBK.MC,policy,minor,positive
495,Siemens Gamesa,SGRE.MC,supply,minor,negative
496,Iberdrola,IBE.MC,policy,minor,positive
497,Repsol,REP.MC,supply,major,negative
498,Solaria Energía y Medio Ambiente S.A.,SLR.MC,financial,minor,positive
498,MásMóvil Ibercom S.A.,MAS.MC,financial,minor,negative
498,Neinor Homes S.A.U.,HOME.MC,financial,minor,positive
499,Santander,SAN.MC,financial,minor,negative
500,Inmobiliaria Colonial SOCIMI S.A.,COL.MC,financial,minor,positive
501,Naturgy Energy Group S.A.,NTGY.MC,supply,minor,positive
502,Repsol,REP.MC,supply,major,negative
503,Santander,SAN.MC,financial,minor,negative
504,Bankia SA,BKIA.MC,financial,minor,negative
504,CaixaBank SA,CABK.MC,financial,major,positive
505,IAG,IAG.MC,demand,minor,positive
506,Telefónica S.A.,TEF.MC,financial,major,positive
507,BBVA,BBVA.MC,financial,major,positive
508,Telefónica SA (TEF.MC),TEF.MC,financial,major,positive
509,Acciona,ANA.MC,demand,minor,positive
510,Repsol,REP.MC,supply,minor,negative
511,Santander,SAN.MC,financial,minor,positive
511,BBVA,BBVA.MC,financial,minor,positive
511,CaixaBank,CABK.MC,financial,minor,positive
512,Iberdrola,IBE.MC,financial,minor,negative
513,Siemens Gamesa Renewable Energy SA,SGRE.MC,demand,major,positive
514,IAG,IAG.MC,demand,minor,negative
515,Iberdrola,IBE.MC,demand,major,positive
516,Aena SME SA,AENA.MC,demand,major,negative
517,Endesa S.A.,ELE.MC,policy,major,positive
518,Aena,AENA.MC,demand,major,negative
519,Meliá,MEL.MC,demand,minor,negative
520,Meliá Hotels,MEL.MC,demand,minor,negative
521,F2i,F2I.MC,financial,minor,positive
522,Acciona SA,ANA.MC,demand,minor,positive
523,Cellnex,CLNX.MC,financial,minor,positive
524,Cellnex,CLNX.MC,financial,major,positive
525,Colonial,COL.MC,demand,minor,positive
526,Grifols,GRF.MC,demand,minor,positive
527,Grifols,GRF.MC,demand,minor,positive
528,Inditex,ITX.MC,demand,minor,negative
529,Solaria Energia y Medio Ambiente SA (SLR.MC),SLR.MC,policy,minor,positive
529,Grenergy Renovables SA (GRE.MC),GRE.MC,policy,minor,positive
529,Iberdrola SA (IBE.MC),IBE.MC,policy,minor,positive
529,Greenalia SA (GRN.MC),GRN.MC,policy,minor,positive
529,Endesa SA (ELE.MC),ELE.MC,policy,minor,positive
530,CaixaBank SA,CABK.MC,financial,minor,positive
530,Banco Santander SA,SAN.MC,financial,minor,positive
530,Soltec Power Holdings SA,SOLTEC.MC,policy,major,positive
531,Banco Santander SA,SAN.MC,financial,minor,positive
532,Pharma Mar,PHM.MC,financial,minor,positive
533,IAG,IAG.MC,financial,minor,positive
534,Amadeus,AMS.MC,demand,minor,negative
535,Repsol,REP.MC,financial,minor,positive
536,Endesa SA,ELE.MC,policy,minor,positive
537,CaixaBank SA,CABK.MC,financial,minor,negative
537,Bankia SA,BKIA.MC,financial,minor,negative
538,International Consolidated Airlines Group,IAG.MC,policy,minor,negative
539,Indra Sistemas S.A.,IDR.MC,supply,major,negative
540,ACS,ACS.MC,financial,major,positive
541,PharmaMar,PHM.MC,supply,minor,positive
542,IAG,IAG.MC,financial,minor,negative
543,Repsol SA,REP.MC,policy,minor,positive
544,ACS,ACS.MC,financial,minor,positive
545,Banco Santander SA,SAN.MC,financial,minor,positive
545,Banco Bilbao Vizcaya Argentaria SA,BBVA.MC,financial,minor,positive
545,CaixaBank SA,CABK.MC,financial,minor,positive
546,Acciona,ANA.MC,policy,minor,positive
546,Enagás,ENG.MC,policy,minor,positive
547,Enagás SA,ENG.MC,supply,minor,positive
547,Naturgy Energy Group SA,NTGY.MC,supply,minor,positive
548,Bankia,BKIA.MC,financial,major,positive
548,CaixaBank,CABK.MC,financial,major,positive
549,Enagás,ENG.MC,financial,minor,positive
550,Cellnex,CLNX.MC,financial,minor,positive
551,Enagás SA,ENG.MC,financial,minor,positive
552,ACS,ACS.MC,financial,minor,positive
553,Enagás,ENG.MC,financial,minor,positive
554,Iberdrola,IBE.MC,financial,minor,negative
555,Iberdrola SA,IBE.MC,financial,minor,negative
555,Telefónica,TEF.MC,financial,minor,negative
555,Repsol,REP.MC,financial,minor,negative
556,CaixaBank SA,CABK.MC,financial,minor,negative
556,Bankia SA,BKIA.MC,financial,minor,positive
557,Iberdrola (IBE.MC),IBE.MC,financial,major,positive
558,Iberdrola,IBE.MC,demand,minor,positive
559,HSBC Holdings PLC (HSBC),HSBC.MC,financial,major,negative
559,Banco Santander SA (SAN.MC),SAN.MC,financial,major,negative
560,Telefónica,TEF.MC,financial,minor,negative
561,Iberdrola,IBE.MC,demand,major,positive
562,International Consolidated Airlines Group,IAG.MC,demand,minor,negative
563,Iberdrola,IBE.MC,demand,minor,positive
564,Enagás,ENG.MC,demand,minor,negative
565,Iberdrola,IBE.MC,financial,minor,positive
566,Telefónica,TEF.MC,technology,minor,positive
567,Grifols,GRF.MC,financial,minor,negative
568,Telefónica,TEF.MC,financial,minor,negative
569,Banco Santander S.A.,SAN.MC,financial,major,negative
569,Arima Real Estate,ARI.MC,financial,minor,negative
569,Lar España,LAR.MC,financial,major,negative
569,Merlin Properties Socimi SA,MRL.MC,financial,major,negative
569,Inmobiliaria Colonial Socimi SA,COL.MC,financial,minor,negative
570,Iberdrola,IBE.MC,financial,minor,positive
571,Bankinter,BKT.MC,financial,major,negative
572,Grifols,GRF.MC,supply,minor,negative
573,Bankinter SA,BKT.MC,financial,minor,negative
574,IAG,IAG.MC,supply,major,negative
575,IAG,IAG.MC,demand,minor,negative
576,Grifols,GRF.MC,demand,minor,positive
577,IAG,IAG.MC,supply,major,negative
578,Iberdrola,IBE.MC,financial,major,positive
579,Bankinter,BKT.MC,financial,major,negative
579,BBVA,BBVA.MC,financial,major,negative
579,Bankia,BKIA.MC,financial,major,negative
579,Banco Sabadell,SAB.MC,financial,major,negative
579,CaixaBank,CABK.MC,financial,major,negative
579,Banco Santander,SAN.MC,financial,major,negative
580,IAG,IAG.MC,financial,minor,negative
581,Bankinter SA,BKT.MC,financial,major,negative
582,Red Electrica Corp,REE.MC,policy,minor,positive
582,Nextracker,NXT.MC,policy,minor,positive
582,Green Power,GRE.MC,policy,minor,positive
582,Soltec Industrial,SOL.MC,policy,minor,positive
583,IAG,IAG.MC,demand,major,negative
584,ACS.MC,ACS.MC,financial,minor,negative
585,Iberdrola,IBE.MC,financial,minor,positive
586,IAG,IAG.MC,supply,major,negative
587,Repsol SA,REP.MC,supply,major,positive
588,Cellnex Telecom SA (CLNX.MC),CLNX.MC,financial,major,positive
589,Bankinter,BKT.MC,financial,minor,negative
590,Cellnex,CLNX.MC,financial,minor,positive
591,Telefónica,TEF.MC,financial,minor,negative
592,Bankinter,BKT.MC,financial,minor,negative
593,ACS.MC,ACS.MC,supply,minor,positive
594,PharmaMar,PHM.MC,financial,major,positive
595,IAG,IAG.MC,financial,minor,positive
596,Bankia S.A.,BKIA.MC,financial,minor,positive
596,CaixaBank S.A.,CABK.MC,financial,minor,positive
597,CaixaBank S.A.,CABK.MC,policy,minor,positive
597,Bankia S.A.,BKIA.MC,policy,minor,positive
598,Cellnex Telecom SA,CLNX.MC,financial,major,positive
599,Cellnex,CLNX.MC,financial,major,positive
600,Cellnex,CLNX.MC,demand,minor,positive
601,Acciona SA,ANA.MC,financial,minor,negative
602,Banco Santander SA,SAN.MC,financial,minor,positive
602,CaixaBank SA,CABK.MC,financial,minor,positive
602,Banco Sabadell SA,SAB.MC,financial,minor,negative
603,Santander,SAN.MC,financial,major,negative
604,Banco Santander SA (SAN.MC),SAN.MC,financial,major,negative
605,Banco Santander SA,SAN.MC,financial,major,negative
606,Bankia SA,BKIA.MC,financial,major,positive
606,CaixaBank SA,CABK.MC,financial,major,positive
607,Enagás SA,ENG.MC,financial,minor,positive
608,Banco Santander SA,SAN.MC,financial,major,negative
609,Enagás,ENG.MC,financial,minor,negative
610,Bankia,BKIA.MC,financial,major,negative
611,Red Eléctrica Corp SA,REE.MC,financial,minor,positive
612,Aena SME SA,AENA.MC,demand,major,negative
613,Naturgy,NTGY.MC,demand,minor,negative
614,Red Eléctrica,REE.MC,demand,minor,positive
615,Aena,AENA.MC,financial,minor,positive
616,Naturgy,NTGY.MC,demand,minor,negative
617,Bankia SA,BKIA.MC,financial,major,negative
618,Bankia,BKIA.MC,financial,minor,positive
619,Banco Santander,SAN.MC,financial,minor,positive
620,Banco Santander,SAN.MC,financial,minor,positive
621,PharmaMar,PHM.MC,financial,major,positive
622,Bankia SA,BKIA.MC,financial,major,negative
623,Ferrovial SA,FER.MC,supply,major,positive
624,Naturgy Energy Group SA,NTGY.MC,demand,major,negative
625,Iberdrola,IBE.MC,policy,major,positive
626,Aena,AENA.MC,demand,minor,negative
627,Banco de Sabadell S.A.,SAB.MC,financial,major,negative
627,Banco Santander S.A.,SAN.MC,financial,major,negative
628,Abertis,ABE.MC,demand,major,negative
628,ACS,ACS.MC,demand,major,negative
629,Telefónica,TEF.MC,financial,major,negative
630,Telefónica SA,TEF.MC,technology,major,positive
631,Repsol,REP.MC,financial,major,negative
632,Telefónica SA,TEF.MC,financial,major,negative
633,Repsol,REP.MC,supply,minor,negative
634,Santander,SAN.MC,financial,minor,positive
635,Telefónica,TEF.MC,demand,major,negative
636,Repsol,REP.MC,financial,minor,positive
637,ACS,ACS.MC,demand,minor,negative
638,ACS,ACS.MC,financial,minor,positive
639,ACS,ACS.MC,financial,minor,positive
639,Abertis,ABE.MC,supply,major,negative
640,Repsol SA,REP.MC,supply,major,negative
641,Bankia S.A.,BKIA.MC,financial,minor,positive
641,CaixaBank S.A.,CABK.MC,financial,minor,positive
641,Santander S.A.,SAN.MC,financial,minor,positive
642,Ferrovial,FER.MC,demand,major,negative
643,Ferrovial,FER.MC,supply,major,negative
644,CaixaBank,CABK.MC,financial,minor,negative
645,BBVA,BBVA.MC,financial,major,negative
646,Banco Sabadell,SAB.MC,financial,major,negative
647,Repsol,REP.MC,financial,major,positive
648,CaixaBank SA,CABK.MC,financial,major,negative
649,BBVA,BBVA.MC,financial,minor,negative
650,Sabadell SA,SAB.MC,financial,major,negative
651,Ferrovial,FER.MC,demand,minor,negative
652,Aena,AENA.MC,financial,minor,positive
653,Grifols,GRF.MC,supply,minor,negative
654,Ferrovial,FER.MC,financial,minor,negative
655,IAG,IAG.MC,demand,minor,negative
656,Telefónica,TEF.MC,financial,minor,negative
657,Cellnex,CLNX.MC,financial,major,positive
658,Aena,AENA.MC,demand,minor,positive
659,CaixaBank SA,CABK.MC,financial,major,negative
659,Bankia SA,BKIA.MC,financial,minor,negative
660,IAG,IAG.MC,supply,major,negative
661,Ferrovial,FER.MC,demand,minor,negative
662,BBVA,BBVA.MC,financial,major,negative
663,Repsol,REP.MC,demand,minor,negative
664,Santander,SAN.MC,financial,minor,positive
665,Bankia,BKIA.MC,financial,minor,negative
666,CaixaBank,CABK.MC,financial,minor,positive
666,Bankia,BKIA.MC,financial,minor,positive
667,BBVA,BBVA.MC,financial,minor,positive
668,Sabadell,SAB.MC,financial,minor,negative
669,Iberdrola,IBE.MC,supply,minor,positive
670,Sabadell,SAB.MC,financial,major,negative
671,Aena,AENA.MC,demand,major,negative
672,Naturgy,NTGY.MC,supply,minor,negative
673,Solaria Energía y Medio Ambiente SA,SLR.MC,financial,major,positive
673,Gestamp Automoción,GEST.MC,supply,major,negative
673,Meliá Hotels International SA,MEL.MC,demand,major,negative
673,Ferrovial SA,FER.MC,financial,major,negative
673,Inditex,ITX.MC,financial,major,negative
674,Red Eléctrica Corp,REE.MC,demand,minor,negative
675,MásMóvil Ibercom SA,MAS.MC,financial,major,negative
676,Banco Santander,SAN.MC,financial,major,negative
677,Cellnex Telecom SA,CLNX.MC,financial,major,negative
678,Cellnex,CLNX.MC,demand,minor,positive
679,Soltec Power Holdings SA,SOL.MC,financial,minor,positive
679,Banco Santander SA,SAN.MC,financial,minor,positive
680,Cellnex Telecom SA,CLNX.MC,demand,major,positive
681,Siemens Gamesa,SGRE.MC,demand,major,negative
682,Iberdrola,IBE.MC,policy,minor,positive
682,Acciona,ANA.MC,policy,minor,positive
682,ENACE Energía y Celulosa S.A.,ENC.MC,policy,minor,positive
683,Banco Sabadell SA,SAB.MC,financial,major,negative
683,Ibercaja,IBCA.MC,financial,major,negative
683,Banco Santander SA,SAN.MC,financial,major,negative
683,Liberbank SA,LBK.MC,financial,major,negative
683,Bankia SA,BKIA.MC,financial,major,negative
683,Unicaja Banco SA,UNI.MC,financial,major,negative
683,CaixaBank SA,CABK.MC,financial,major,negative
684,Endesa,ELE.MC,financial,major,positive
685,Endesa SA,ELE.MC,financial,minor,positive
686,Siemens Gamesa,SGRE.MC,supply,major,negative
687,Iberdrola,IBE.MC,financial,major,positive
688,Cellnex,CLNX.MC,financial,minor,positive
689,Endesa,ELE.MC,supply,minor,positive
690,IAG,IAG.MC,policy,minor,negative
691,Iberdrola,IBE.MC,demand,minor,positive
692,Siemens Gamesa,SGRE.MC,financial,minor,negative
693,Cellnex,CLNX.MC,demand,major,positive
694,Ferrovial S.A.,FER.MC,financial,minor,positive
695,Siemens Gamesa Renewable Energy,SGRE.MC,demand,minor,positive
696,Siemens Gamesa Renewable Energy S.A.,SGRE.MC,financial,minor,negative
697,Cellnex,CLNX.MC,financial,major,positive
698,Iberdrola,IBE.MC,financial,major,positive
699,Banco de Sabadell SA,SAB.MC,financial,major,negative
700,Ferrovial SA,FER.MC,financial,minor,positive
701,Cellnex Telecom SA,CLNX.MC,financial,minor,positive
702,Acciona,ANA.MC,supply,major,negative
703,Naturgy,NTGY.MC,policy,minor,positive
704,Iberdrola,IBE.MC,policy,major,positive
705,Cellnex Telecom SA,CLNX.MC,financial,major,positive
706,Acciona,ANA.MC,financial,minor,positive
707,Iberdrola,IBE.MC,supply,major,positive
708,Aena,AENA.MC,financial,minor,positive
709,Acciona SA (ANA.MC),ANA.MC,demand,major,negative
710,Iberdrola,IBE.MC,financial,minor,positive
711,Iberdrola,IBE.MC,financial,major,positive
712,Iberdrola,IBE.MC,demand,major,positive
713,Indra Sistemas S.A.,IDR.MC,demand,major,negative
714,Iberdrola,IBE.MC,supply,minor,negative
715,Siemens Gamesa,SGRE.MC,financial,minor,negative
716,Abertis,ABT.MC,financial,major,positive
716,Actividades de Construcción y Servicios S.A.,ACS.MC,financial,minor,positive
717,Telefónica,TEF.MC,financial,minor,positive
718,Amadeus,AMS.MC,demand,minor,negative
719,IAG,IAG.MC,demand,major,positive
720,PharmaMar,PHM.MC,financial,major,negative
721,Indra Sistemas SA,IDR.MC,supply,major,negative
722,CaixaBank,CABK.MC,financial,minor,positive
723,Inmobiliaria Colonial SOCIMI S.A.,COL.MC,financial,minor,positive
724,Siemens Gamesa,SGRE.MC,demand,minor,positive
725,Aena,AENA.MC,demand,minor,negative
726,BBVA,BBVA.MC,financial,minor,positive
726,Santander,SAN.MC,financial,minor,positive
727,Acciona SA,ANA.MC,demand,major,positive
728,IAG,IAG.MC,demand,major,negative
729,Cellnex,CLNX.MC,financial,minor,positive
729,Telefónica,TEF.MC,financial,minor,positive
730,Aena SME SA,AENA.MC,demand,major,negative
731,Siemens Gamesa,SGRE.MC,demand,major,positive
732,Merlin Properties SOCIMI SA,MRL.MC,financial,minor,positive
732,Bankia SA,BKIA.MC,financial,minor,positive
732,Neinor Homes S.A.U.,HOME.MC,financial,minor,positive
732,CaixaBank SA,CABK.MC,financial,minor,positive
733,Cellnex Telecom SA,CLNX.MC,demand,major,positive
734,Cellnex Telecom SA (CLNX.MC),CLNX.MC,financial,major,positive
735,CaixaBank S.A.,CABK.MC,policy,major,positive
735,Bankia S.A.,BKIA.MC,financial,major,negative
735,Unicaja Banco S.A.,UNI.MC,financial,minor,negative
735,Liberbank S.A.,LBK.MC,financial,minor,negative
735,Mapfre S.A.,MAP.MC,policy,minor,negative
736,Endesa S.A.,ELE.MC,supply,minor,negative
736,Repsol S.A.,REP.MC,demand,minor,positive
737,Inmobiliaria Colonial SOCIMI S.A.,COL.MC,financial,major,negative
738,Banco Santander S.A.,SAN.MC,financial,minor,positive
739,Merlin Properties Socimi SA,MRL.MC,financial,major,negative
740,Merlin Properties,MRL.MC,financial,minor,positive
741,Cellnex,CLNX.MC,demand,minor,positive
742,Naturgy Energy Group S.A.,NTGY.MC,financial,minor,positive
743,Naturgy Energy Group SA,NTGY.MC,financial,minor,positive
744,Aena,AENA.MC,demand,minor,positive
745,Naturgy Energy Group SA,NTGY.MC,financial,minor,positive
746,Repsol,REP.MC,supply,minor,negative
747,Cellnex,CLNX.MC,financial,minor,positive
748,Banco Santander S.A.,SAN.MC,financial,major,negative
749,Repsol S.A.,REP.MC,demand,minor,negative
750,Naturgy,NTGY.MC,financial,minor,positive
751,BBVA,BBVA.MC,financial,major,positive
752,Acciona,ANA.MC,financial,minor,positive
753,BBVA,BBVA.MC,financial,minor,positive
754,BBVA,BBVA.MC,financial,major,positive
755,BBVA,BBVA.MC,financial,minor,positive
756,Cellnex,CLNX.MC,financial,major,positive
757,Cellnex,CLNX.MC,financial,minor,positive
758,Siemens Gamesa Renewable Energy S.A.,SGRE.MC,policy,minor,positive
759,Naturgy,NTGY.MC,financial,minor,positive
760,BBVA,BBVA.MC,financial,minor,positive
761,BBVA,BBVA.MC,financial,major,positive
761,Sabadell,SAB.MC,financial,major,positive
762,Banco Sabadell,SAB.MC,financial,major,positive
762,BBVA,BBVA.MC,financial,major,positive
763,Repsol,REP.MC,supply,minor,positive
764,BBVA,BBVA.MC,financial,major,positive
764,Banco Sabadell,SAB.MC,financial,major,positive
765,Banco Santander SA,SAN.MC,financial,major,positive
766,ACS.MC,ACS.MC,financial,major,positive
767,Banco Santander,SAN.MC,financial,minor,positive
768,Naturgy,NTGY.MC,financial,minor,positive
769,Cellnex,CLNX.MC,financial,major,positive
770,Sabadell,SAB.MC,financial,minor,negative
770,BBVA,BBVA.MC,financial,minor,negative
771,BBVA (BBVA.MC),BBVA.MC,financial,minor,positive
771,Sabadell (SAB.MC),SAB.MC,financial,minor,positive
772,BBVA,BBVA.MC,policy,minor,negative
772,Sabadell,SAB.MC,policy,minor,positive
773,BBVA,BBVA.MC,financial,minor,positive
773,Banco Sabadell,SAB.MC,financial,minor,positive
774,Iberdrola,IBE.MC,demand,minor,positive
775,BBVA,BBVA.MC,financial,minor,negative
775,Banco Sabadell,SAB.MC,financial,minor,positive
776,BBVA,BBVA.MC,financial,minor,positive
776,Banco Sabadell,SAB.MC,financial,minor,positive
777,Banco Sabadell,SAB.MC,financial,minor,positive
778,Banco Santander SA (SAN.MC),SAN.MC,supply,minor,positive
778,CaixaBank SA (CABK.MC),CABK.MC,supply,minor,positive
778,Banco Bilbao Vizcaya Argentaria SA (BBVA.MC),BBVA.MC,supply,minor,positive
778,Bankia SA (BKIA.MC),BKIA.MC,supply,minor,positive
778,Banco Sabadell SA (SAB.MC),SAB.MC,supply,minor,positive
779,Sabadell,SAB.MC,financial,minor,positive
779,BBVA,BBVA.MC,financial,minor,positive
779,Unicaja,UNI.MC,financial,minor,positive
779,CaixaBank,CABK.MC,financial,minor,positive
779,Liberbank,LBK.MC,financial,minor,positive
779,Bankia,BKIA.MC,financial,minor,positive
780,BBVA,BBVA.MC,financial,minor,negative
780,Banco Sabadell,SAB.MC,financial,minor,positive
781,Banco Santander S.A.,SAN.MC,financial,minor,positive
781,Abengoa S.A.,ABG.MC,financial,major,negative
782,Banco Santander,SAN.MC,supply,major,negative
783,Meliá,MEL.MC,demand,minor,positive
784,ACS,ACS.MC,demand,minor,positive
785,BBVA,BBVA.MC,financial,minor,positive
786,Acciona,ANA.MC,financial,minor,positive
787,Liberbank SA,LBK.MC,financial,minor,positive
787,Banco de Sabadell SA,SAB.MC,financial,minor,positive
787,Unicaja Banco SA,UNI.MC,financial,minor,positive
787,CaixaBank SA,CABK.MC,financial,minor,positive
787,Bankia SA,BKIA.MC,financial,minor,positive
787,Banco Bilbao Vizcaya Argentaria SA,BBVA.MC,financial,minor,positive
788,Ferrovial,FER.MC,supply,minor,negative
789,Bankinter,BKT.MC,financial,minor,negative
789,Solaria,SLR.MC,supply,minor,negative
790,Meliá Hotels International S.A.,MEL.MC,policy,minor,positive
791,International Consolidated Airlines Group S.A.,IAG.MC,policy,minor,positive
792,BBVA,BBVA.MC,financial,minor,positive
793,Acciona S.A.,ANA.MC,supply,minor,positive
794,Iberdrola S.A.,IBE.MC,supply,major,positive
795,Solaria,SLR.MC,demand,minor,positive
796,Telefónica,TEF.MC,financial,major,negative
797,Telefónica,TEF.MC,policy,minor,negative
798,Endesa,ELE.MC,policy,minor,positive
798,Iberdrola SA,IBE.MC,policy,minor,positive
798,Acciona SA,ANA.MC,policy,minor,positive
798,Naturgy Energy Group SA,NTGY.MC,policy,minor,positive
798,Repsol SA,REP.MC,policy,minor,positive
799,Sabadell SA,SAB.MC,financial,minor,positive
799,BBVA.MC,BBVA.MC,financial,minor,negative
800,Endesa,ELE.MC,financial,minor,positive
801,Iberdrola,IBE.MC,supply,minor,positive
802,BBVA,BBVA.MC,financial,minor,positive
803,Iberdrola,IBE.MC,financial,minor,positive
804,Bankia,BKIA.MC,financial,minor,positive
804,CaixaBank,CABK.MC,financial,minor,positive
805,CaixaBank,CABK.MC,financial,minor,positive
805,Bankia,BKIA.MC,financial,minor,positive
806,BBVA,BBVA.MC,financial,minor,positive
806,Sabadell,SAB.MC,financial,minor,negative
807,CaixaBank SA,CABK.MC,policy,minor,positive
808,Telefónica S.A.,TEF.MC,financial,minor,negative
809,Cellnex Telecom SA,CLNX.MC,demand,minor,positive
809,Endesa SA,ELE.MC,demand,minor,positive
810,Telefónica,TEF.MC,financial,minor,negative
811,Meliá Hotels,MEL.MC,demand,minor,positive
812,Repsol,REP.MC,financial,minor,positive
813,Telefónica,TEF.MC,financial,minor,negative
814,Repsol,REP.MC,financial,minor,positive
815,Banco Sabadell SA,SAB.MC,financial,major,positive
815,Banco Bilbao Vizcaya Argentaria SA,BBVA.MC,financial,major,positive
816,CaixaBank,CABK.MC,financial,minor,positive
816,Unicaja,UNI.MC,financial,minor,positive
816,Santander,SAN.MC,financial,minor,negative
817,Repsol,REP.MC,financial,minor,positive
818,Telefónica,TEF.MC,financial,major,positive
819,Endesa,ELE.MC,demand,minor,positive
820,Cellnex,CLNX.MC,financial,minor,positive
